mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
4.6516282410,0.0130030989,0.0122956665,0.0001690806,0.0001511834,2.3925831971,-8.2056194572,113.5429118142,157.2866880468,4.6516464153,0.0122961066,21.6378143726,0.0001511942,5.0000000000,0.0466933195,4.5220801416,-0.3482055664,1.8270679823,0.9999960929,0.0084608561,small,13,B
4.4176497704,0.0216748863,0.4426676049,0.0004698007,0.1959546084,-1.6958563707,-11.0995727375,118.9864285945,121.4927451498,4.4177029433,0.4442371722,19.5160992950,0.1973466652,5.0000000000,1.4506973479,2.7669606616,-5.0000000000,1.2496108101,0.9999879637,-0.0839872914,medium,44,A
4.6508941476,0.0571558571,0.0222994660,0.0032667920,0.0004972662,-40.5849658477,52.7172019215,1802.5095796230,3563.4294304737,4.6512453348,0.0223225457,21.6340831642,0.0004982960,4.7853022858,1.4944914090,1.8894009217,-0.2165222168,1.8281817900,0.9999244961,0.0454618122,small,13,B
4.6513104146,0.0131509521,0.0111630319,0.0001729475,0.0001246133,0.5746671787,-5.8937229659,51.8260694277,89.9034262802,4.6513290058,0.0111711883,21.6348615205,0.0001247954,4.9609363079,0.1344340342,4.5660267953,-0.3042602539,1.8262127842,0.9999960030,0.0382062946,small,13,B
4.3928101375,0.0175800440,0.1730552398,0.0003090579,0.0299481160,-62.9068525389,-28.6942357958,8210.5286896367,825.6494661415,4.3928453151,0.1730974519,19.2970899622,0.0299627279,5.0000000000,1.6261787774,1.6701254311,-5.0000000000,1.1945430546,0.9999919921,-0.0220831687,large,174,A
4.6520998427,0.0256830872,0.0153517388,0.0006596210,0.0002356759,-82.4568773947,41.8599566448,8801.7125530379,3503.8977361739,4.6521707372,0.0153696353,21.6426925679,0.0002362257,4.8292489395,1.4067506943,1.8016602069,-0.2165222168,1.8288336057,0.9999847610,0.0482437554,medium,44,B
4.4050178001,0.0292063007,0.0117577439,0.0008530080,0.0001382445,-31.8043919170,18.0257630829,2451.5417017150,4239.1983633952,4.4051146213,0.0119227572,19.4050348270,0.0001421521,5.0000000000,1.4506973479,1.8016602069,-0.6991577148,1.2219173465,0.9999780207,0.1657975716,large,174,A
4.6521781663,0.0368860292,1.1509604481,0.0013605791,1.3247099531,-64.8645687902,-3.8566510112,4840.8878757514,12.8777733758,4.6523243944,1.1844300829,21.6441222703,1.4028746212,4.8730430006,1.3629566332,1.6701254311,-5.0000000000,1.8297463726,0.9999685688,-0.2360455486,medium,44,B
4.6519987431,0.0162946837,0.4117738862,0.0002655167,0.1695577333,-73.7138940469,-11.9555930656,11399.1746917945,141.2597660378,4.6520272809,0.4131183798,21.6413578224,0.1706667957,4.8292489395,1.3629566332,1.7578661458,-5.0000000000,1.8281661180,0.9999938655,-0.0806127007,medium,44,B
4.6519072429,0.0180316421,0.0130881651,0.0003251401,0.0001713001,-49.8439569877,27.6959981457,4749.1029930052,2380.2711350292,4.6519421898,0.0131114696,21.6405661368,0.0001719106,4.8730430006,1.1874752037,2.7669606616,-0.2165222168,1.8279783336,0.9999924877,0.0595958687,medium,44,B
