mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
3.3022114589,0.0174384595,0.0100947348,0.0003040999,0.0001019037,1.5188399249,-3.8397746386,0.3068747173,12.9926082796,3.3022575035,0.0101052280,10.9049046193,0.0001021156,3.3373516037,0.0466933195,3.2935575426,-0.0410461426,0.0003089904,0.9999860566,0.0455599094,small,13,D
3.2943993328,0.0103312439,0.0182938003,0.0001067346,0.0003346631,-45.4396927629,31.2689217555,6653.7490505205,2500.7736485019,3.2944155322,0.0182983484,10.8531736987,0.0003348296,3.8200018311,1.6261787774,1.7139194922,-0.4797363281,0.0001381021,0.9999950828,-0.0222943356,large,174,F
3.2947786142,0.0076326703,0.0123926460,0.0000582577,0.0001535777,5.2747538800,-3.3079520423,35.7533682322,14.8647549988,3.2947874551,0.0124174027,10.8556243741,0.0001541919,3.4250923185,0.0466933195,3.2496108890,-0.2165222168,0.0000855205,0.9999973167,-0.0631145388,small,13,C
3.2957119458,0.0171439143,0.0282351107,0.0002939138,0.0007972215,15.9473121711,37.9335567460,417.4490721784,1956.2900155044,3.2957565359,0.0282387279,10.8620111437,0.0007974258,3.7762077700,1.5384380627,3.0303353984,-0.3919982910,0.0003123012,0.9999864705,0.0160052036,small,13,C
3.2746897368,0.0290169646,0.0253713761,0.0008419842,0.0006437067,-17.1557807351,21.0159671801,743.3167470086,713.9834759641,3.2748182937,0.0424481309,10.7244348566,0.0018018438,3.4690389721,0.9680471206,2.0210882900,-0.1725769043,0.0014825937,0.9999607438,-0.8017175923,small,13,E
3.2941337973,0.0096949952,0.0175860918,0.0000939929,0.0003092706,-54.5915608418,22.2949303840,9055.4004996388,2016.6760783749,3.2941480640,0.0176247139,10.8514114674,0.0003106305,3.8639484848,1.5384380627,1.7139194922,-0.5674743652,0.0001284053,0.9999956691,-0.0661657890,large,174,F
3.2949284789,0.0097486726,0.0198776947,0.0000950366,0.0003951227,-34.6690730603,38.7417874337,5099.9216749741,2767.6789693167,3.2949429006,0.0198801613,10.8566487180,0.0003952208,3.6007263405,1.5384380627,1.7139194922,-0.2604675293,0.0001207569,0.9999956231,-0.0157521617,medium,44,E
3.3038163036,0.0190113184,0.0183667435,0.0003614302,0.0003373373,-2.6500657650,26.4688943905,316.4991531211,1412.5349604962,3.3038710021,0.0183738001,10.9155635984,0.0003375965,3.3373516037,1.0118411817,1.7139194922,-0.1725769043,0.0003759944,0.9999834441,-0.0277123151,small,13,D
3.2849945175,0.0191538651,0.0240012533,0.0003668706,0.0005760602,-10.7284944287,3.5104211401,798.4241961841,259.5728621811,3.2850503574,0.0284903378,10.7915558504,0.0008116993,3.8639484848,1.4944914090,1.6701254311,-0.5674743652,0.0005920351,0.9999830018,-0.5387982302,large,174,A
3.2963901226,0.0167474197,0.0132625286,0.0002804761,0.0001758947,-27.5059018189,63.1746426056,2615.5153076832,7040.6881586154,3.2964326652,0.0134891856,10.8664683163,0.0001819581,3.8200018311,1.6261787774,1.7139194922,-0.4797363281,0.0002935073,0.9999870943,0.1825470064,large,174,C
3.2963390281,0.0108339444,0.0091399863,0.0001173744,0.0000835393,3.4076167217,-4.3723253322,10.5195647711,17.1172288105,3.2963568318,0.0091849830,10.8659683623,0.0000843639,3.3373516037,0.0028992584,3.2496108890,-0.0410461426,0.0001307771,0.9999945990,0.0988629777,small,13,C
